United States of America,Chicago Board of Trade (CBOT),.CBT,10 min
United States of America,Chicago Mercantile Exchange (CME),.CME,10 min
United States of America,Dow Jones Indexes,N/A,Real-time
United States of America,Nasdaq Stock Exchange,N/A,Real-time
United States of America,ICE Futures US,.NYB,30 min
United States of America,New York Commodities Exchange (COMEX),.CMX,30 min
United States of America,New York Mercantile Exchange (NYMEX),.NYM,30 min
United States of America,Options Price Reporting Authority (OPRA),N/A,15 min
United States of America,OTC Bulletin Board Market,N/A,Real-time
United States of America,OTC Markets Group,N/A,15 min
United States of America,S & P Indices,N/A,Real-time
Argentina,Buenos Aires Stock Exchange (BYMA),.BA,30 min
Austria,Vienna Stock Exchange,.VI,15 min
Australia,Australian Stock Exchange (ASX),.AX,20 min
Belgium,Euronext Brussels,.BR,15 min
Brazil,Sao Paolo Stock Exchange (BOVESPA),.SA,15 min
Canada,Toronto Stock Exchange (TSX),.TO,15 min
Canada,TSX Venture Exchange (TSXV),.V,15 min
Chile,Santiago Stock Exchange,.SN,15 min
China,Shanghai Stock Exchange,.SS,30 min
China,Shenzhen Stock Exchange,.SZ,30 min
Czech Republic,Prague Stock Exchange Index,.PR,20 min
Denmark,Nasdaq OMX Copenhagen,.CO,Real-time
Egypt,Egyptian Exchange Index (EGID),.CA,20 min
Estonia,Nasdaq OMX Tallinn,.TL,Real-time
Finland,Nasdaq OMX Helsinki,.HE,Real-time
France,Euronext,.NX,15 min
France,Euronext Paris,.PA,15 min
Germany,Berlin Stock Exchange,.BE,15 min
Germany,Bremen Stock Exchange,.BM,15 min
Germany,Dusseldorf Stock Exchange,.DU,15 min
Germany,Frankfurt Stock Exchange,.F,Real-time
Germany,Hamburg Stock Exchange,.HM,15 min
Germany,Hanover Stock Exchange,.HA,15 min
Germany,Munich Stock Exchange,.MU,15 min
Germany,Stuttgart Stock Exchange,.SG,15 min
Germany,Deutsche Boerse XETRA,.DE,15 min
Global,Currency Rates,#NAME?,Real-time
Greece,Athens Stock Exchange (ATHEX),.AT,15 min
Hong Kong,Hong Kong Stock Exchange (HKEX),.HK,15 min
Iceland,Nasdaq OMX Iceland,.IC,Real-time
India,Bombay Stock Exchange,.BO,Real-time
India,National Stock Exchange of India,.NS,Real-time**
Indonesia,Indonesia Stock Exchange (IDX),.JK,10 min
Ireland,Irish Stock Exchange,.IR,15 min
Israel,Tel Aviv Stock Exchange,.TA,20 min
Italy,EuroTLX,.TI,20 min
Italy,Italian Stock Exchange,.MI,20 min
Japan,Nikkei Indices,N/A,30 min
Japan,Tokyo Stock Exchange,.T,20 min
Latvia,Nasdaq OMX Riga,.RG,Real-time
Lithuania,Nasdaq OMX Vilnius,.VS,Real-time
Malaysia,Malaysian Stock Exchange,.KL,15 min
Mexico,Mexico Stock Exchange (BMV),.MX,20 min
Netherlands,Euronext Amsterdam,.AS,15 min
New Zealand,New Zealand Stock Exchange (NZX),.NZ,20 min
Norway,Oslo Stock Exchange,.OL,15 min
Portugal,Euronext Lisbon,.LS,15 min
Qatar,Qatar Stock Exchange,.QA,15 min
Russia,Moscow Exchange (MOEX),.ME,Real-time
Singapore,Singapore Stock Exchange (SGX),.SI,20 min
South Africa,Johannesburg Stock Exchange,.JO,15 min
South Korea,Korea Stock Exchange,.KS,20 min
South Korea,KOSDAQ,.KQ,20 min
Spain,Barcelona Stock Exchange,.BC,15 min
Spain,Bilbao Stock Exchange,.BI,15 min
Spain,Madrid Fixed Income Market,.MF,15 min
Spain,Madrid SE C.A.T.S.,.MC,15 min
Spain,Madrid Stock Exchange,.MA,15 min
Spain,Valencia Stock Exchange,.VA,15 min
Saudi Arabia,Saudi Stock Exchange (Tadawul),.SAU,15 min
Sweden,Nasdaq OMX Stockholm,.ST,Real-time
Switzerland,Swiss Exchange (SIX),.SW,30 min
Taiwan,Taiwan OTC Exchange,.TWO,20 min
Taiwan,Taiwan Stock Exchange (TWSE),.TW,20 min
Thailand,Stock Exchange of Thailand (SET),.BK,15 min
Turkey,Borsa Istanbul,.IS,15 min
United Kingdom,FTSE Indices,N/A,15 min
United Kingdom,London Stock Exchange,.L,20 min
United Kingdom,London Stock Exchange,.IL,20 min
Venezuela,Caracas Stock Exchange,.CR,15 min
